Stage Type,Count,Confidence,Japanese Name,Examples,Notes
"main",206,1.000,"","main_05-04, main_05-02, main_05-10, main_02-08, main_02-06",""
"tough",84,1.000,"","tough_14-01, tough_14-11, tough_14-02, tough_14-12, tough_14-08",""
"sub",48,1.000,"","sub_02-12, sub_04-1-1, sub_03-3-1, sub_03-2-1, sub_03-1-1",""
"act18d",44,1.000,"","act18d3_08, act18d3_07, act18d3_06, act18d3_03, act18d3_05",""
"act13d",32,1.000,"","act13d5_04, act13d5_01, act13d5_07, act13d5_03, act13d5_05",""
"act15d",32,1.000,"","act15d0_07_rep, act15d0_04_rep, act15d0_03_rep, act15d0_06_rep, act15d0_05_rep",""
"act17side",30,1.000,"","act17side_03_rep, act17side_08_rep, act17side_07_rep, act17side_05_rep, act17side_04_rep",""
"act16d",27,1.000,"","act16d5_07_perm, act16d5_09_perm, act16d5_04_perm, act16d5_01_perm, act16d5_01",""
"act13side",25,1.000,"","act13side_10_perm, act13side_03_perm, act13side_09_perm, act13side_05_perm, act13side_01_rep",""
"act9d",24,1.000,"","act9d0_05_perm, act9d0_01_perm, act9d0_07_perm, act9d0_04_perm, act9d0_06_perm",""
"act12d",22,1.000,"","act12d0_08_rep, act12d0_07_rep, act12d0_05_rep, act12d0_04_rep, act12d0_01_rep",""
"act11d",21,1.000,"","act11d0_04_rep, act11d0_03_rep, act11d0_01_rep, act11d0_08_rep, act11d0_06_rep",""
"act14side",21,1.000,"","act14side_07, act14side_05, act14side_08, act14side_04, act14side_06",""
"act25side",20,1.000,"","act25side_03, act25side_09, act25side_04, act25side_07, act25side_08",""
"act21side",19,1.000,"","act21side_06_rep, act21side_09_rep, act21side_10_rep, act21side_05_rep, act21side_04_rep",""
"act20side",18,1.000,"","act20side_06_rep, act20side_09_rep, act20side_08_rep, act20side_04_rep, act20side_03_rep",""
"act15side",18,1.000,"","act15side_05, act15side_03, act15side_07, act15side_01, act15side_08",""
"act29side",18,1.000,"","act29side_07, act29side_09, act29side_05, act29side_06, act29side_08",""
"act23side",18,1.000,"","act23side_06, act23side_08, act23side_09, act23side_02, act23side_03",""
"act19side",16,1.000,"","act19side_02, act19side_01, act19side_08, act19side_07, act19side_03",""
"act16side",16,1.000,"","act16side_02_rep, act16side_01_rep, act16side_07_rep, act16side_06_rep, act16side_08_rep",""
"act17d",16,1.000,"","act17d0_06_rep, act17d0_05_rep, act17d0_01_rep, act17d0_02_rep, act17d0_07_rep",""
"act22side",14,1.000,"","act22side_07_rep, act22side_06_rep, act22side_03_rep, act22side_04_rep, act22side_05_rep",""
"act12side",14,1.000,"","act12side_02, act12side_01, act12side_07, act12side_09, act12side_06",""
"act18side",14,1.000,"","act18side_03, act18side_06, act18side_07, act18side_01, act18side_04",""
"act27side",12,1.000,"","act27side_08_rep, act27side_07_rep, act27side_06_rep, act27side_05_rep, act27side_06",""
"act38side",10,1.000,"","act38side_04, act38side_03, act38side_09, act38side_08, act38side_10",""
"act37side",9,1.000,"","act37side_02, act37side_08, act37side_09, act37side_05, act37side_01",""
"act31side",9,1.000,"","act31side_06, act31side_08, act31side_05, act31side_04, act31side_02",""
"act35side",9,1.000,"","act35side_08, act35side_03, act35side_05, act35side_06, act35side_01",""
"act10mini",8,1.000,"","act10mini_05, act10mini_03, act10mini_08, act10mini_07, act10mini_06",""
"act6d",8,1.000,"","act6d5_02, act6d5_07, act6d5_06, act6d5_01, act6d5_03",""
"act16mini",8,1.000,"","act16mini_01, act16mini_03, act16mini_06, act16mini_05, act16mini_07",""
"act14mini",8,1.000,"","act14mini_03, act14mini_01, act14mini_07, act14mini_04, act14mini_02",""
"act11mini",8,1.000,"","act11mini_01, act11mini_05, act11mini_02, act11mini_03, act11mini_06",""
"act33side",8,1.000,"","act33side_04, act33side_08, act33side_05, act33side_02, act33side_06",""
"act26side",8,1.000,"","act26side_02, act26side_07, act26side_08, act26side_05, act26side_01",""
"act36side",8,1.000,"","act36side_02, act36side_06, act36side_01, act36side_03, act36side_05",""
"act30side",8,1.000,"","act30side_01, act30side_08, act30side_04, act30side_02, act30side_05",""
