Stage Type,Count,Confidence,Japanese Name,Examples,Notes
"main",222,1.000,"","main_10-14, main_10-12, main_10-10, main_10-01, main_10-04",""
"tough",85,1.000,"","tough_10-05, tough_10-01, tough_10-11, tough_10-13, tough_10-06",""
"act18d",49,1.000,"","act18d3_07_perm, act18d3_08_perm, act18d3_04_perm, act18d3_09_perm, act18d3_06_perm",""
"sub",48,1.000,"","sub_05-4-3, sub_04-1-1, sub_09-1-3, sub_04-1-3, sub_04-3-1",""
"act15d",32,1.000,"","act15d0_04_perm, act15d0_01_perm, act15d0_07_perm, act15d0_05_perm, act15d0_03_perm",""
"act13d",32,1.000,"","act13d5_02, act13d5_03, act13d5_04, act13d5_05, act13d5_07",""
"act13side",30,1.000,"","act13side_06, act13side_10, act13side_04, act13side_03, act13side_05",""
"act17side",30,1.000,"","act17side_08_rep, act17side_05_rep, act17side_07_rep, act17side_10_rep, act17side_09_rep",""
"act25side",30,1.000,"","act25side_04_perm, act25side_08_perm, act25side_07_perm, act25side_02_perm, act25side_09_perm",""
"act16d",30,1.000,"","act16d5_10, act16d5_04, act16d5_08, act16d5_03, act16d5_09",""
"act15side",27,1.000,"","act15side_04_perm, act15side_05_perm, act15side_03_perm, act15side_02_perm, act15side_08_perm",""
"act12side",27,1.000,"","act12side_04_perm, act12side_07_perm, act12side_05_perm, act12side_06_perm, act12side_09_perm",""
"act12d",25,1.000,"","act12d0_01, act12d0_02, act12d0_05, act12d0_07, act12d0_08",""
"act9d",24,1.000,"","act9d0_01_perm, act9d0_05_perm, act9d0_02_perm, act9d0_04_perm, act9d0_06_perm",""
"act16side",24,1.000,"","act16side_02_perm, act16side_07_perm, act16side_06_perm, act16side_04_perm, act16side_01_perm",""
"act19side",24,1.000,"","act19side_07_perm, act19side_03_perm, act19side_08_perm, act19side_04_perm, act19side_06_perm",""
"act14side",24,1.000,"","act14side_08_rep, act14side_05_rep, act14side_04_rep, act14side_03_rep, act14side_01_rep",""
"act11d",23,1.000,"","act11d0_05, act11d0_02, act11d0_03, act11d0_01, act11d0_04",""
"act18side",23,1.000,"","act18side_05_perm, act18side_06_perm, act18side_01_perm, act18side_07_perm, act18side_02_perm",""
"act29side",20,1.000,"","act29side_01_rep, act29side_05_rep, act29side_09_rep, act29side_06_rep, act29side_08_rep",""
"act21side",20,1.000,"","act21side_03_rep, act21side_08_rep, act21side_09_rep, act21side_05_rep, act21side_04_rep",""
"act20side",18,1.000,"","act20side_02, act20side_07, act20side_01, act20side_04, act20side_09",""
"act23side",18,1.000,"","act23side_03, act23side_05, act23side_08, act23side_04, act23side_02",""
"act31side",18,1.000,"","act31side_04, act31side_06, act31side_05, act31side_01, act31side_09",""
"act33side",17,1.000,"","act33side_01_rep, act33side_05_rep, act33side_07_rep, act33side_06_rep, act33side_03_rep",""
"act28side",16,1.000,"","act28side_01, act28side_03, act28side_06, act28side_08, act28side_07",""
"act17d",16,1.000,"","act17d0_03_rep, act17d0_02_rep, act17d0_08_rep, act17d0_04_rep, act17d0_01_rep",""
"act26side",16,1.000,"","act26side_03_rep, act26side_01_rep, act26side_08_rep, act26side_05_rep, act26side_04_rep",""
"act30side",16,1.000,"","act30side_06_rep, act30side_07_rep, act30side_01_rep, act30side_04_rep, act30side_02_rep",""
"act27side",16,1.000,"","act27side_08, act27side_06, act27side_03, act27side_07, act27side_05",""
"act34side",15,1.000,"","act34side_08, act34side_07, act34side_05, act34side_06, act34side_01",""
"act22side",15,1.000,"","act22side_05_rep, act22side_04_rep, act22side_01_rep, act22side_06_rep, act22side_02_rep",""
"act5d",14,1.000,"","act5d0_10, act5d0_03, act5d0_01, act5d0_08, act5d0_04",""
"act38side",10,1.000,"","act38side_05, act38side_02, act38side_07, act38side_08, act38side_01",""
"act42side",10,1.000,"","act42side_03, act42side_02, act42side_10, act42side_08, act42side_07",""
"act35side",9,1.000,"","act35side_03, act35side_08, act35side_02, act35side_05, act35side_01",""
"act24side",9,1.000,"","act24side_07, act24side_05, act24side_06, act24side_09, act24side_02",""
"act37side",9,1.000,"","act37side_09, act37side_01, act37side_06, act37side_07, act37side_02",""
"act40side",9,1.000,"","act40side_08, act40side_06, act40side_05, act40side_07, act40side_04",""
"act17mini",8,1.000,"","act17mini_04, act17mini_05, act17mini_08, act17mini_02, act17mini_07",""
"act11mini",8,1.000,"","act11mini_03, act11mini_08, act11mini_07, act11mini_01, act11mini_02",""
"act12mini",8,1.000,"","act12mini_05, act12mini_08, act12mini_02, act12mini_04, act12mini_03",""
"act13mini",8,1.000,"","act13mini_03, act13mini_04, act13mini_06, act13mini_01, act13mini_02",""
"act14mini",8,1.000,"","act14mini_03, act14mini_07, act14mini_05, act14mini_04, act14mini_08",""
"act16mini",8,1.000,"","act16mini_01, act16mini_06, act16mini_05, act16mini_04, act16mini_07",""
"act39side",8,1.000,"","act39side_05, act39side_07, act39side_01, act39side_08, act39side_06",""
"act43side",8,1.000,"","act43side_03, act43side_01, act43side_04, act43side_07, act43side_02",""
"act36side",8,1.000,"","act36side_04, act36side_03, act36side_07, act36side_02, act36side_08",""
"act32side",8,1.000,"","act32side_08, act32side_01, act32side_07, act32side_05, act32side_06",""
"act15mini",8,1.000,"","act15mini_04, act15mini_02, act15mini_08, act15mini_06, act15mini_05",""
"act18mini",8,1.000,"","act18mini_06, act18mini_01, act18mini_07, act18mini_04, act18mini_02",""
"act10mini",8,1.000,"","act10mini_01, act10mini_05, act10mini_04, act10mini_03, act10mini_06",""
"act6d",8,1.000,"","act6d5_06, act6d5_04, act6d5_05, act6d5_03, act6d5_07",""
"act41side",8,1.000,"","act41side_01, act41side_07, act41side_05, act41side_04, act41side_08",""
"act10d",7,1.000,"","act10d5_02, act10d5_05, act10d5_01, act10d5_06, act10d5_07",""
"act8mini",7,1.000,"","act8mini_04, act8mini_03, act8mini_06, act8mini_02, act8mini_01",""
"wk_kc",6,1.000,"","wk_kc_6, wk_kc_5, wk_kc_3, wk_kc_2, wk_kc_1",""
"wk_melee",6,1.000,"","wk_melee_6, wk_melee_4, wk_melee_5, wk_melee_1, wk_melee_2",""
"act9mini",6,1.000,"","act9mini_01, act9mini_02, act9mini_04, act9mini_05, act9mini_06",""
"act7d",6,1.000,"","act7d5_01, act7d5_05, act7d5_04, act7d5_06, act7d5_02",""
"wk_fly",5,1.000,"","wk_fly_3, wk_fly_5, wk_fly_1, wk_fly_4, wk_fly_2",""
"wk_armor",5,1.000,"","wk_armor_3, wk_armor_4, wk_armor_5, wk_armor_1, wk_armor_2",""
"wk_toxic",5,1.000,"","wk_toxic_3, wk_toxic_5, wk_toxic_2, wk_toxic_4, wk_toxic_1",""
